Super1,ProdName1,Super2,ProdName2,Super3,ProdName3,ProdPrice1,ProdPrice2,ProdPrice3,ProdPath1,ProdPath2,ProdPath3
1,Ψωμί τυποποιημένο ΚΑΡΑΜΟΛΕΓΚΟΣ Ψωμί Τοστ Σίκαλης Μίνι 340gr,2,ΚΑΡΑΜΟΛΕΓΚΟΣ Ψωμί Τοστ Σίκαλης Μίνι 340g Άρτος Ζαχαροπλαστείο,3,ΑΡΤΟΖΑΧΑΡΟΠΛΑΣΤΕΙΟ ΚΑΡΑΜΟΛΕΓΚΟΣ Καραμολέγκος Ψωμί Τοστ Σίκαλης 340 gr,"1,20 €/τεμ.","€1,20",1.20€/ΤΕΜ,D:/th/24.JPG,D:/th/87.JPG,D:/th/189.JPG
1,Αναψυκτικά Σόδες Ενεργειακά ποτά TUBORG Τόνικ 500ml,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ TUBORG Tuborg Τόνικ Αναψυκτικό 330 ml,"0,80 €/τεμ.",0,0.57€/ΤΕΜ,D:/th/25.JPG,0,D:/th/256.JPG
1,Λαχανικά Σπανάκι Εγχώριο,0,0,3,ΦΡΟΥΤΑ ΛΑΧΑΝΙΚΑ Σπανάκι Κρήτης,"0,98 €/0,5 κιλό",0,0.79€/500 γραμ,D:/th/26.JPG,0,D:/th/187.JPG
1,Φρέσκο Χοιρινό Πανσέτα Χοιρινή ΣΚΛΑΒΕΝΙΤΗΣ με οστό Ολλανδίας,0,0,3,ΦΡΕΣΚΟ ΚΡΕΑΣ ΠΟΥΛΕΡΙΚΑ Χοιρινό Πανσέτα Μ/Ο Μ/Δ Ελληνικό,"3,06 €/συσκ.",0,2.30€/500 γραμ,D:/th/27.JPG,0,D:/th/246.JPG
1,Στοματική υγιεινή SENSODYNE Οδοντόκρεμα Repair Protect 75ml,0,0,3,ΥΓΕΙΑ ΟΜΟΡΦΙΑ SENSODYNE Sensodyne Οδοντόκρεμα Repair Protect Whitening 75 ml,"4,20 €/τεμ.",0,4.20€/ΤΕΜ,D:/th/28.JPG,0,D:/th/200.JPG
1,Φροντίδα Σώματος PALMOLIVE Κρεμοσάπουνο Hygiene Plus Family Ανταλλακτικό 1lt,0,0,3,ΥΓΕΙΑ ΟΜΟΡΦΙΑ PALMOLIVE Palmolive Υγρό Κρεμοσάπουνο Hygiene Plus Ανταλλακτικό 750ml,"1,63 €/τεμ.",0,"1.69€ /ΤΕΜ
2.82€/ΤΕΜ",D:/th/29.JPG,0,D:/th/197.JPG
1,Φέτα Λευκά τυριά Φέτα ΧΩΡΙΟ ΠΟΠ σε Άλμη 400gr,0,0,3,ΤΥΡΟΚΟΜΙΚΑ ΧΩΡΙΟ Χωριό Τυρί Φέτα Σε Άλμη 400 gr,"4,65 €/τεμ.",0,4.65€/ΤΕΜ,D:/th/30.JPG,0,D:/th/183.JPG
1,Ζυμαρικά MELISSA Κριθαράκι Χονδρό 500gr,0,0,3,ΣΥΣΚΕΥΑΣΜΕΝΑ ΤΡΟΦΙΜΑ ΜΕΛΙΣΣΑ Melissa Πάστα Κριθαράκι Χονδρό 500 gr,"0,65 €/τεμ.",0,1.00€/ΤΕΜ,D:/th/31.JPG,0,D:/th/253.JPG
1,Μπαχαρικά Αλάτια Ξίδια Ζωμοί ΗΛΙΟΣ Πάπρικα Γλυκιά 40gr,0,0,3,ΣΥΣΚΕΥΑΣΜΕΝΑ ΤΡΟΦΙΜΑ ΗΛΙΟΣ Ήλιος Πάπρικα Γλυκιά 50 gr,"1,42 €/τεμ.",0,0.77€/ΤΕΜ,D:/th/32.JPG,0,D:/th/190.JPG
1,Ζυμαρικά MISKO Σπαγγετίνη Ολικής Άλεσης Νο10 500gr,2,MISKO Σπαγγετίνη Ολικής Άλεσης Νο10 500gr Βασικά τυποποιημένα τρόφιμα,3,ΣΥΣΚΕΥΑΣΜΕΝΑ ΤΡΟΦΙΜΑ MISKO Misko Μακαρόνια Σπαγγετίνη Ν10 Ολικής Άλεσης 500 gr,"0,77 €/τεμ.","€0,91","0.92€ /ΤΕΜ
1.22€/ΤΕΜ",D:/th/33.JPG,D:/th/138.JPG,D:/th/233.JPG
